City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,newman,37.3138,-121.0208,20.64,75,23,0.89,US,1694969451
255,portland,45.5234,-122.6762,18.3,69,75,3.09,US,1694969311
256,sretensk,52.2453,117.7093,8.68,97,100,1.31,RU,1694969452
257,praia,14.9215,-23.5087,29.3,61,20,5.66,CV,1694969452
258,santa vitoria do palmar,-33.5189,-53.3681,17.74,83,66,4.58,BR,1694969178
259,nabire,-3.3667,135.4833,24.91,88,100,1.68,ID,1694969453
260,januaria,-15.4833,-44.3667,36.26,23,55,3.47,BR,1694969453
261,chibougamau,49.9168,-74.3659,18.79,63,40,2.57,CA,1694969454
262,lagos,6.5833,3.75,26.39,82,83,3.39,NG,1694969232
263,mana,5.6592,-53.7767,31.57,61,74,5.61,GF,1694969454
264,ceeldheer,3.8488,47.1806,25.51,77,84,9.58,SO,1694969455
265,oberstdorf,47.4,10.2833,22.03,71,100,0.45,DE,1694969455
266,birzai,56.2,24.75,15.83,71,41,1.12,LT,1694969455
267,mushie,-3.0167,16.9,26.33,73,100,2.89,CD,1694969456
268,greymouth,-42.4667,171.2,9.82,83,57,10.08,NZ,1694969376
269,zalingei,12.9096,23.4741,27.9,43,83,3.11,SD,1694969457
270,anadyr,64.75,177.4833,-0.72,93,20,3.0,RU,1694969457
271,touros,-5.1989,-35.4608,28.97,58,19,8.82,BR,1694969297
272,tsiombe,-25.3,45.4833,21.98,84,0,2.67,MG,1694969458
273,borkum,53.5809,6.6915,21.64,85,70,0.72,DE,1694969458
274,talcahuano,-36.7167,-73.1167,11.82,58,20,5.66,CL,1694969458
275,redencao,-4.2258,-38.7306,37.29,24,2,4.4,BR,1694969459
276,geraldton,-28.7667,114.6,11.23,82,0,4.12,AU,1694969459
277,ko pha ngan,9.7578,100.0291,25.7,76,100,3.43,TH,1694969459
278,yanchep,-31.55,115.6833,11.45,78,0,3.24,AU,1694969460
279,vodnyy,63.5046,53.4095,9.34,96,100,1.6,RU,1694969460
280,kailua-kona,19.6406,-155.9956,24.98,78,20,2.24,US,1694969461
281,shihezi,44.3,86.0333,17.28,45,42,1.67,CN,1694969461
282,alupka,44.4167,34.05,19.69,62,0,4.34,UA,1694969461
283,tolanaro,-25.0319,46.9987,25.04,69,0,4.12,MG,1694969462
284,kupang,-10.1667,123.5833,25.32,78,14,3.6,ID,1694969462
285,san jacinto,33.7839,-116.9586,30.05,85,64,0.89,US,1694969303
286,carutapera,-1.195,-46.02,31.75,53,33,5.53,BR,1694969463
287,najafabad,32.6344,51.3668,25.3,21,0,3.85,IR,1694969463
288,erenhot,43.6475,111.9767,15.5,55,52,1.46,CN,1694969464
289,kaa-khem,51.6833,94.7333,10.01,80,74,1.01,RU,1694969464
290,mejit,10.2753,170.8646,28.41,81,100,9.15,MH,1694969465
291,holualoa,19.6228,-155.9522,22.91,80,20,2.24,US,1694969465
292,weno,7.4515,151.8468,25.97,89,40,1.54,FM,1694969466
293,laguna,38.421,-121.4238,21.19,73,0,5.14,US,1694969188
294,malvan,16.0667,73.4667,26.33,88,40,3.21,IN,1694969467
295,okha,53.5739,142.9478,6.53,67,39,2.5,RU,1694969278
296,suoyarvi,62.0833,32.35,9.16,93,100,5.92,RU,1694969467
297,bairnsdale,-37.8333,147.6167,9.47,92,16,1.77,AU,1694969468
298,sidi bel abbes,35.1899,-0.6309,24.62,73,95,6.2,DZ,1694969468
299,woolgoolga,-30.1106,153.2007,13.93,76,0,3.34,AU,1694969469
300,dawesville,30.9224,-84.0091,29.82,80,0,3.09,US,1694969469
301,mount isa,-20.7333,139.5,13.87,44,0,2.57,AU,1694969470
302,abilene,32.4487,-99.7331,27.88,53,0,2.57,US,1694969470
303,carnarvon,-24.8667,113.6333,18.81,78,89,12.03,AU,1694969470
304,khandyga,62.6667,135.6,1.91,97,100,2.22,RU,1694969471
305,peniche,39.3558,-9.3811,21.71,82,84,5.66,PT,1694969471
306,yuzhno-kurilsk,44.0306,145.8556,17.69,99,100,3.42,RU,1694969471
307,pundong,-7.9522,110.3486,22.55,94,24,0.96,ID,1694969472
